joint_id,zone,assembly,order,asm_step,part_a,part_b,hardware,interface,fastening_retention,dependency,instruction,tool,torque_threadlock,confidence,asm_check,disposition,evidence
J-STR-005,ZS steering,steering,8.05,ASM-08,M4 rod-end,M3 ball stud,"M3 ball stud + M4 rod-end + M4 threaded rod cut to ≈22 mm, all from supplied BOM",Far rod-end clips to M3 ball stud on saver side-input arm; fit ASSUMPTION,rod-end clips on ball; M4 thread carries axial adjustment; ball stud retained by its M3 thread/nut,Servo saver not yet pivot-clamped,Snap the far rod-end onto the saver-side ball stud while the saver can still be lifted for access.,"calipers, fine saw/cutoff tool, file, two small spanners, ball-end pliers if available",Deburr cut rod. Equal thread engagement both ends. Low-strength threadlock only at final metal–metal threads.,ASSUMPTION,ASM-08: articulation/tug check at both lock limits.,READY,
J-STR-006,ZS steering,steering,8.06,ASM-08,M3 ball stud,servosaverv7,"M3 ball stud + M4 rod-end + M4 threaded rod cut to ≈22 mm, all from supplied BOM",Saver side-input feature location VERIFIED; printed hole is not proven M3 threaded and requires drilling/retention decision,rod-end clips on ball; M4 thread carries axial adjustment; ball stud retained by its M3 thread/nut,J-STR-005,Trial the M3 ball stud in the saver side-input feature; use a nut only if the feature is through and accessible—do not cut an assumed thread.,"calipers, fine saw/cutoff tool, file, two small spanners, ball-end pliers if available",Deburr cut rod. Equal thread engagement both ends. Low-strength threadlock only at final metal–metal threads.,ASSUMPTION,ASM-08: measure hole Ø/depth and record nut vs thread retention before final assembly.,READY,Y steering study §5
J-STR-007,ZS steering,steering,8.07,ASM-08,servosaverv7,Suspension Block_10,M3×30 dowel king pin + supplied circlip; no substitute screw unless the physical check selects it,Saver pivot bore 2.90×2.97 mm through 26.50 mm [VERIFIED]; vertical M3 boss [VERIFIED topology],dowel through aligned bores; circlip in the supplied groove,Front suspension block fixed but linkage loose,Lower saver onto the vertical M3 boss; retain with the actual dowel+circlip or M3 screw stack selected by the physical boss check.,smooth-jaw pliers / light press + circlip pliers; calipers,No threadlock. Do not hammer through a tight printed bore; rework only from a recorded FIT result.,VERIFIED,"ASM-08: record boss Ø/height, selected pin/screw, washer/spacer stack and free axial play.",READY,Y steering study §2/§5
J-STR-008,ZS steering,steering,8.1,ASM-08,servosaverv7,M3 ball stud,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Saver left forward-link hole location VERIFIED; M3 thread/retention ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-007,Fit the left M3 ball stud to the corresponding saver output hole; keep ball height matched to the opposite side.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,"ASM-08: measure left hole Ø/depth, retention and ball-centre height.",READY,
J-STR-009,ZS steering,steering,8.11,ASM-08,M3 ball stud,3Racing M3 tie-rod end,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",M3 ball stud to 3Racing tie-rod end / 3×32 turnbuckle topology DOCUMENTED; cup fit ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-008,Clip the left inner 3Racing M3 tie-rod end squarely over the saver ball.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: record left inner cup fit and initial ball-centre length.,READY,
J-STR-016,ZS steering,steering,8.115,ASM-08,3Racing M3 tie-rod end,3×32 turnbuckle,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",3Racing M3 tie-rod end threads onto one end of the 3×32 turnbuckle; handedness and engagement are physical,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-009,"Identify the left inner turnbuckle thread direction, then install the tie-rod end to a counted starting engagement.","calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: mark left inner thread handedness and record engaged length.,READY,
J-STR-010,ZS steering,steering,8.12,ASM-08,3×32 turnbuckle,3Racing M3 tie-rod end,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Second 3Racing M3 tie-rod end threads onto the opposite 3×32 turnbuckle end; handedness/engagement physical,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-016,Install the left far tie-rod end with equal engagement and orient its cup toward the upright ball.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: mark left far thread handedness and match inner engagement.,READY,
J-STR-017,ZS steering,steering,8.125,ASM-08,3Racing M3 tie-rod end,M3 ball stud,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Far 3Racing M3 tie-rod end clips to upright M3 ball stud; cup/ball fit ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-010,Clip the left far tie-rod end over the upright ball without side-loading the cup.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: snap/tug test and full bump/lock articulation.,READY,
J-STR-011,ZS steering,steering,8.129999999999999,ASM-08,M3 ball stud,front upright L,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Left upright steering-arm M3 interface topology DOCUMENTED; hole Ø/thread ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-017,Fit the left upright ball stud only after its hole/retention is identified; match ball height left/right.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: measure left upright feature and record nut/thread plus spacer stack.,READY,
J-STR-012,ZS steering,steering,8.2,ASM-08,servosaverv7,M3 ball stud,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Saver right forward-link hole location VERIFIED; M3 thread/retention ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-007,Fit the right M3 ball stud to the corresponding saver output hole; keep ball height matched to the opposite side.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,"ASM-08: measure right hole Ø/depth, retention and ball-centre height.",READY,
J-STR-013,ZS steering,steering,8.209999999999999,ASM-08,M3 ball stud,3Racing M3 tie-rod end,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",M3 ball stud to 3Racing tie-rod end / 3×32 turnbuckle topology DOCUMENTED; cup fit ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-012,Clip the right inner 3Racing M3 tie-rod end squarely over the saver ball.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: record right inner cup fit and initial ball-centre length.,READY,
J-STR-018,ZS steering,steering,8.215,ASM-08,3Racing M3 tie-rod end,3×32 turnbuckle,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",3Racing M3 tie-rod end threads onto one end of the 3×32 turnbuckle; handedness and engagement are physical,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-013,"Identify the right inner turnbuckle thread direction, then install the tie-rod end to a counted starting engagement.","calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: mark right inner thread handedness and record engaged length.,READY,
J-STR-014,ZS steering,steering,8.219999999999999,ASM-08,3×32 turnbuckle,3Racing M3 tie-rod end,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Second 3Racing M3 tie-rod end threads onto the opposite 3×32 turnbuckle end; handedness/engagement physical,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-018,Install the right far tie-rod end with equal engagement and orient its cup toward the upright ball.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: mark right far thread handedness and match inner engagement.,READY,
J-STR-019,ZS steering,steering,8.225,ASM-08,3Racing M3 tie-rod end,M3 ball stud,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Far 3Racing M3 tie-rod end clips to upright M3 ball stud; cup/ball fit ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-014,Clip the right far tie-rod end over the upright ball without side-loading the cup.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: snap/tug test and full bump/lock articulation.,READY,
J-STR-015,ZS steering,steering,8.229999999999999,ASM-08,M3 ball stud,front upright R,"M3 ball studs + 3Racing M3 tie-rod ends + 3×32 turnbuckle, all from supplied BOM",Right upright steering-arm M3 interface topology DOCUMENTED; hole Ø/thread ASSUMPTION,tie-rod ends clip to M3 balls; opposite-hand turnbuckle threads provide toe adjustment; ball studs use measured M3 nut/thread retention,J-STR-019,Fit the right upright ball stud only after its hole/retention is identified; match ball height left/right.,"calipers, two small spanners and ball-end pliers if available",Equal thread engagement left/right. Low-strength threadlock only at final metal–metal ball-stud threads; keep turnbuckle adjustable.,ASSUMPTION,ASM-08: measure right upright feature and record nut/thread plus spacer stack.,READY,
J-FRT-001,ZF front,front,9.01,ASM-09,Suspension Block_10,2023 front floor,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,Four matched M3 centres in block/floor [VERIFIED]; exact bolt length ASSUMPTION,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FLR-001…007 and J-STR-007 access plan,"Place the complete front block on the front-floor datum, start all four M3 fasteners, square it, then snug diagonally.",matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,VERIFIED,ASM-09: log selected bolt lengths/nut seats and verify block cannot rock.,READY,Y steering study §5
J-FRT-002,ZF front,front,9.04,ASM-09,Crossarm3_extended,Suspension Block_10,specified BOM bearing / press-fit part; no added fastener,Left crossarm pivot uses GuideRod or optional D5×M3×5 sleeve [DOCUMENTED]; bore fit unmeasured,square press fit against the correct race/shoulder,J-FRT-001 loose,"Align the left crossarm pivot, press/tap the selected GuideRod/sleeve squarely, and stop if plastic whitens.",arbor press or smooth-jaw vice + square drift; calipers,No screw torque or threadlock. Press on the race supported by the receiving feature.,DOCUMENTED,ASM-09: caliper left bore/pin and record press force/free pivot.,READY,
J-FRT-003,ZF front,front,9.049999999999999,ASM-09,Crossarm3_extended,Suspension Block_10,specified BOM bearing / press-fit part; no added fastener,Right crossarm pivot uses GuideRod or optional D5×M3×5 sleeve [DOCUMENTED]; bore fit unmeasured,square press fit against the correct race/shoulder,J-FRT-001 loose,"Align the right crossarm pivot, press/tap the selected GuideRod/sleeve squarely, and stop if plastic whitens.",arbor press or smooth-jaw vice + square drift; calipers,No screw torque or threadlock. Press on the race supported by the receiving feature.,DOCUMENTED,ASM-09: caliper right bore/pin and record press force/free pivot.,READY,
J-FRT-004,ZF front,front,9.079999999999998,ASM-09,Arm4,Suspension Block_10,specified BOM bearing / press-fit part; no added fastener,Left lower-arm pivot uses GuideRod or optional D5×M3×5 sleeve [DOCUMENTED]; bore fit unmeasured,square press fit against the correct race/shoulder,J-FRT-001 loose,"Align the left lower arm, insert the guide/sleeve without mushrooming the printed end, and confirm gravity-free pivot.",arbor press or smooth-jaw vice + square drift; calipers,No screw torque or threadlock. Press on the race supported by the receiving feature.,DOCUMENTED,ASM-09: measure left pivot and record sleeve vs printed GuideRod.,READY,
J-FRT-005,ZF front,front,9.09,ASM-09,Arm4,Suspension Block_10,specified BOM bearing / press-fit part; no added fastener,Right lower-arm pivot uses GuideRod or optional D5×M3×5 sleeve [DOCUMENTED]; bore fit unmeasured,square press fit against the correct race/shoulder,J-FRT-001 loose,"Align the right lower arm, insert the guide/sleeve without mushrooming the printed end, and confirm gravity-free pivot.",arbor press or smooth-jaw vice + square drift; calipers,No screw torque or threadlock. Press on the race supported by the receiving feature.,DOCUMENTED,ASM-09: measure right pivot and record sleeve vs printed GuideRod.,READY,
J-FRT-006,ZF front,front,9.120000000000001,ASM-09,front upright L,Arm4,M3×30 dowel king pin + supplied circlip; no substitute screw unless the physical check selects it,Left king-pin path nominal Ø3 mm; exact printed bore remains D-05 [ASSUMPTION],dowel through aligned bores; circlip in the supplied groove,J-FRT-004,"Align upright and arm bores, insert the M3×30 dowel from the serviceable side, then fit its circlip.",smooth-jaw pliers / light press + circlip pliers; calipers,No threadlock. Do not hammer through a tight printed bore; rework only from a recorded FIT result.,ASSUMPTION,ASM-09/D-05: measure left bore and king pin; prove free steer with circlip seated.,HOLD,
J-FRT-007,ZF front,front,9.13,ASM-09,front upright R,Arm4,M3×30 dowel king pin + supplied circlip; no substitute screw unless the physical check selects it,Right king-pin path nominal Ø3 mm; exact printed bore remains D-05 [ASSUMPTION],dowel through aligned bores; circlip in the supplied groove,J-FRT-005,"Align upright and arm bores, insert the M3×30 dowel from the serviceable side, then fit its circlip.",smooth-jaw pliers / light press + circlip pliers; calipers,No threadlock. Do not hammer through a tight printed bore; rework only from a recorded FIT result.,ASSUMPTION,ASM-09/D-05: measure right bore and king pin; prove free steer with circlip seated.,HOLD,
J-FRT-008,ZF front,front,9.28,ASM-09,52 mm front shock,Suspension Block_10,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,52 mm shock eye to left upper M3 mount DOCUMENTED; eye bushing width/hole Ø and spacer stack ASSUMPTION,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FRT-002,Fit the left upper shock eye with no side preload; choose a BOM M3 bolt only after the eye and boss stack are measured.,matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,ASSUMPTION,"ASM-09/56: record left upper eye Ø/width, bolt length and free articulation.",HOLD,
J-FRT-009,ZF front,front,9.29,ASM-09,52 mm front shock,Arm4,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,52 mm shock eye to left lower M3 mount DOCUMENTED; eye bushing width/hole Ø and spacer stack ASSUMPTION,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FRT-006,Fit the left lower shock eye with no side preload; choose a BOM M3 bolt only after the eye and boss stack are measured.,matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,ASSUMPTION,"ASM-09/56: record left lower eye Ø/width, bolt length and free articulation.",HOLD,
