id,zone,x,l,z,orientation,confidence,note
CAM-TOP,camera,−61.6…−44.8,−8.8…+8.9,+73.35…+80.27 + S0,same authored shell frame,DERIVED,"Transform X=146.6−raw_x, L=−(raw_y−1.855), Z=raw_z+S0."
COOL-BLOW,camera,camera-module local,offset from lens,TBD,inlet open; outlet to hot side,ASSUMPTION,No fixed coordinate before camera/placement decision.
COOL-DUCT,camera,camera-module local,local,local,blower outlet → camera heatsink,ASSUMPTION,Nine SCAD inputs must be measured.
SRV-PAN,servos,+60 / −53,0,camera-module base,output axis Z,ASSUMPTION,Option A/B coordinate follows VID-CAM.
SRV-TILT,servos,+60 / −53,0,above pan,output axis L,ASSUMPTION,"Reserve board, lens and horn sweep; no gimbal mesh exists."
SRV-DRS,servos,−125,0,+55…+80,per 2021 wing pocket,ASSUMPTION,"Raw wing proves a pocket exists, not that the actual clone fits."
DRS-ARM,servos,rear-wing local,0,flap linkage,58 mm arm swept,ASSUMPTION,Gate A/B combined dry-fit fixes pivots and travel.
AUD-AMP,audio,−5,−40,+15 deck,flat; speaker terminals outboard,ASSUMPTION,Actual clone size and connector height pending.
AUD-SPK,audio,−30,+43,+3,"flat, cone/port outboard",ASSUMPTION,S0=0 shell gives 6–9 mm policy margin for a 12 mm-tall speaker.
LGT-DIFF,audio,−125,0,+35,lens aft,ASSUMPTION,BBox verified; rear-stack transform is not.
LGT-LED,audio,tail / wing ends / halo,0 / ±40 / halo,TBD,1 centre + 2 per indicator + 2 halo planning segments,ASSUMPTION,Seven installed pixels proposed; remaining strip is spare until lens checks.
SHK-FRONT,suspension,+120…+150,±55…±75,+10…+45,eye axes per original oil-shock front,ASSUMPTION,51 mm requirement conflicts with 52 mm stock label; D-12/D-37 measures the real free/compressed length.
UPRIGHT-L,suspension,+146.1,+75,+26…+27 axle,original oil-shock assembly,X DERIVED; L/Z ASSUMPTION,Do not substitute Rev-1/1.1 steering parts.
UPRIGHT-R,suspension,+146.1,−75,+26…+27 axle,original oil-shock assembly,X DERIVED; L/Z ASSUMPTION,Do not substitute Rev-1/1.1 steering parts.
TYRE-F,suspension,+146.1,±75,+26…+27,wheel axes lateral,X DERIVED; L/Z ASSUMPTION,"At ±25° assumed steer, plan half-envelope is 35.3 X ×27.1 L mm."
TYRE-R,suspension,−90.9,±72.5,+26…+27,wheel axes lateral,X DERIVED; L/Z ASSUMPTION,No steering; vertical bump remains unmeasured.
SNS-HALL,sensors,−90.9,belt-side collar TBD,+26…+27,sensitive face toward magnet,X DERIVED; L/Z ASSUMPTION,Bracket requires 0.5 mm adjustment steps and a service loop.
SNS-MAG,sensors,−90.9,shaft collar TBD,+26…+27,radial face; one pulse/rev,X DERIVED; L/Z ASSUMPTION,"Target 1.5 mm cold gap, validate reliable range 1–3 mm."
