"id","param","quantity","unit","value","tolerance","photo_ref","notes"
"M-03c","esp_thk_headers","TOTAL thickness with headers fitted, at its thickest (incl. tallest underside tail)","mm","","±0.2","","esp_thk_headers. STOP if > 13.0 — the assert at w17_params.scad:391 fires and the cage design stops."
"M-03d.1","esp_hole_dx","Mounting-hole pitch measured ALONG THE 39 mm LONG EDGE (centre to centre)","mm","","±0.2","","esp_hole_dx = the pitch along the LONG edge (33.0 ASSUMED against esp_len 39.0). Long edge, not 'X on the bench': the board is loose, so name the edge, never a car axis."
"M-03d.2","esp_hole_dy","Mounting-hole pitch measured ALONG THE 31 mm SHORT EDGE (centre to centre)","mm","","±0.2","","esp_hole_dy = the pitch along the SHORT edge (25.0 ASSUMED against esp_wid 31.0)."
"M-03d.3","esp_hole_d","Mounting-hole diameter","mm","","±0.2","","esp_hole_d. If there are no holes at all, say so."
"M-03e","esp_usb_edge","WHICH EDGE carries the service port: long or short, and which end","text","","-","","PHOTO REQUIRED — the port edge with silkscreen legible. esp_usb_edge; decides the clip notch. Port on a LONG edge changes the wall-seat service face. Write the literal the parameter takes: fwd_short / aft_short / inb_long / outb_long."
"M-03f.1","esp_usb_type","WHICH CONNECTOR it actually is: USB-C / micro-USB B / other","text","","-","","PHOTO REQUIRED — the connector, shell shape readable. esp_usb_type. CLOSES OP-I. micro-USB rewrites AA 4.7 service story and 5.6 clip-notch rule, not just a hole size. Write the literal: usb_c / micro_usb / other."
"M-03f.2","esp_usb_w","Connector shell width","mm","","±0.2","","esp_usb_w."
"M-03f.3","esp_usb_h","Connector shell height","mm","","±0.2","","esp_usb_h."
"M-03f.4","","Connector protrusion past the PCB edge","mm","","±0.2","","service opening depth."
"M-03f.5","esp_usb_offset","Connector offset from that edge's centreline","mm","","±0.2","","esp_usb_offset."
"M-03g.1","","With a DEAD cable fitted: plug-body projection past the PCB edge","mm","","±0.5","","Service access; KO-34. The cable's far end connects to NOTHING."
"M-03g.2","","Cable minimum bend radius before the plug is levered","mm","","±0.5","","Service access at the X+42..+46 tongue."
"M-03h.1","","Component-free margin from the FORWARD short edge, on the OUTBOARD face","mm","","±0.5","","OUTBOARD FACE = the face carrying the TALLER components, i.e. the one that will point AWAY from the register wall once the board stands on edge. Mark it with tape before measuring. OP-H / clip stations."
"M-03h.2","","Component-free margin from the AFT short edge, on the OUTBOARD face","mm","","±0.5","","OUTBOARD FACE as defined in M-03h.1. OP-H."
"M-03h.3","","Component-free margin from the INBOARD long edge, on the OUTBOARD face","mm","","±0.5","","OUTBOARD FACE as defined in M-03h.1. OP-H."
"M-03h.4","","Component-free margin from the OUTBOARD long edge, on the OUTBOARD face","mm","","±0.5","","PHOTO REQUIRED — the outboard face flat-on with a rule alongside. OUTBOARD FACE as defined in M-03h.1. OP-H. STOP if no bare land at X+10 or X+34 — clip_station_x [10,34] stands on components. board_seat_x0 is a DECISION this row unlocks, not a number it reads: register-only."
"M-03x.1","","Board #2: length and thickness-with-headers (cross-check)","mm","","±0.2","","If any board differs by more than the tolerance they are not one SKU: take every M-03 row per board."
"M-03x.2","","Board #3: length and thickness-with-headers (cross-check)","mm","","±0.2","","Same."
"M-03i","","OPTIONAL: adjacent header pin pairs read off the silkscreen","text","","-","","PHOTO REQUIRED — both silkscreen edges, every label readable. A2 review F12 + open finding F20. Do NOT let this delay the M-04 verdict."
"M-04","esp_socket_stack","Female header + MH-ET male pins, SEATED: total stack height","mm","","±0.1","","esp_socket_stack. GO/NO-GO on socketing vs S0 >= 9.82. NO-GO = STOP, do not solder; F12 reopens. Marginal is a report, not a judgement. Needs a female header from stock."
"M-05a.1","","1000 uF electrolytic: body diameter","mm","","±0.2","","Board planning; not a height candidate."
"M-05a.2","","1000 uF: INSTALLED HEIGHT above the seating plane (not lead tips)","mm","","±0.2","","pdb_stack_h candidate (M-05d)."
"M-05a.3","","1000 uF: lead length below the body","mm","","±0.5","","Board planning."
"M-05b.1l","","XT60 male half: body LENGTH, as it will lie on the board","mm","","±0.2","","KO-33 dock body. NOT a height candidate."
"M-05b.1w","","XT60 male half: body WIDTH","mm","","±0.2","","KO-33 dock body. NOT a height candidate."
"M-05b.1h","","XT60 male half: INSTALLED HEIGHT above the board seating plane","mm","","±0.2","","pdb_stack_h candidate (M-05d). One number per cell: only the HEIGHT is a candidate."
"M-05b.2l","","XT60 female half: body LENGTH, as it will lie on the board","mm","","±0.2","","KO-33 dock body. NOT a height candidate."
"M-05b.2w","","XT60 female half: body WIDTH","mm","","±0.2","","KO-33 dock body. NOT a height candidate."
"M-05b.2h","","XT60 female half: INSTALLED HEIGHT above the board seating plane","mm","","±0.2","","pdb_stack_h candidate (M-05d). One number per cell: only the HEIGHT is a candidate."
"M-05c.1l","","XT90-S anti-spark FEMALE half: body LENGTH","mm","","±0.2","","the half that faces the live pack. NOT a height candidate."
"M-05c.1w","","XT90-S anti-spark FEMALE half: body WIDTH","mm","","±0.2","","NOT a height candidate."
"M-05c.1h","","XT90-S anti-spark FEMALE half: INSTALLED HEIGHT above the board seating plane","mm","","±0.2","","pdb_stack_h candidate (M-05d)."
"M-05c.2l","","XT90H-M male half: body LENGTH","mm","","±0.2","","NOT a height candidate."
"M-05c.2w","","XT90H-M male half: body WIDTH","mm","","±0.2","","NOT a height candidate."
"M-05c.2h","","XT90H-M male half: INSTALLED HEIGHT above the board seating plane","mm","","±0.2","","pdb_stack_h candidate (M-05d)."
"M-05c.3","","Mated overall LENGTH of the pigtail pair","mm","","±0.5","","Finger access body-on. THIS IS A LENGTH, NOT A HEIGHT — it is NOT an M-05d candidate."
"M-05c.4","","PULL AXIS: which way the finger pulls","text","","-","","PHOTO REQUIRED — the mated pair with an arrow on tape along the pull axis. Charge/run interlock ritual (F9a/F9b)."
"M-05d","pdb_stack_h","TALLEST PDB PART = max(M-05a.2, M-05b.1h, M-05b.2h, M-05c.1h, M-05c.2h, 9.1 UBEC MEASURED) — INSTALLED HEIGHTS above the board seating plane ONLY. Write the arithmetic, not just the answer","mm","","±0.2","","pdb_stack_h. Mated lengths (M-05c.3) and body lengths/widths are NOT candidates. STOP if > 13: PDB audit top Z14 vs KO-01 bottom Z22 is the 8 mm policy with nothing spare. Report; do not re-plan the cage at the bench."
"M-06","","PDB finished outline, mounting holes, connector exits","-","","-","","DO NOT ENTER INTO SCAD — register-only. BLOCKED — the PDB does not exist; no substrate bought. Built at A2 build week, and its outline is a DESIGN OUTPUT, not a measurement. pdb_len/pdb_wid stay ASSUMED. Do not cut a pocket to 55 x 45."
"M-21.a","","XT30: body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-21.b","","3-pin servo (JR): body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-21.c","","JST-XH 3-pin: body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-21.d","","JST-XH 4-pin: body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-21.e","","JST-XH 5-pin: body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-21.f","","JST-PH 2-pin: body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-21.g","","U.FL head + pigtail diameter: body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-21.h","","camera<->WiFi shielded 4-pin / micro-USB: body L x W x H, and MATED depth (pair plugged together)","mm (L x W x H; mated)","","±0.2","","KO-33 dock bodies; M connector matrix; Z wire schedule. Sanity-checks pass_slot_w/h (10 x 6). Register-only: no parameter consumes these, so the four numbers may share one cell — label each."
"M-22a.1","","Heat-set insert M3x5: outside diameter at the widest KNURL (RECORD ONLY — this is NOT insert_m3_d)","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. insert_m3_d (4.0 ASSUMED) is the BORE the insert is melted INTO — lib/w17_lib.scad:98-100 cuts cylinder(d = insert_d) into the boss top. A bore equal to the knurl OD leaves the brass nothing to bite. Report the knurl OD; the bore is a CAD decision made from it and M-22a.1b."
"M-22a.1b","","Heat-set insert M3x5: BODY (minor) outside diameter below the knurl","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. The second half of the bore decision: the melt bore sits between this and the knurl OD. NEW CELL — the sitting previously recorded only the knurl."
"M-22a.2","insert_m3_h","Heat-set insert M3x5: overall LENGTH","mm","","±0.1","","insert_m3_h (5.7 ASSUMED) is the pocket DEPTH, and pocket depth = insert length 1:1 (lib/w17_lib.scad:92-101, w17_standoff insert_h). This one IS the parameter."
"M-22b.1","","M3 screw: thread outside diameter (RECORD ONLY — this is NOT screw_m3_clear_d, which is the clearance HOLE diameter = thread OD + clearance)","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. screw_m3_clear_d (3.4) is used DIRECTLY as a hole diameter — gcs_box.scad:115,162,212 and fit_check_coupons.scad:139 all do cylinder(d = screw_m3_clear_d). Writing a measured ~3.0 thread OD there makes every screw hole too small for its own screw. It is also tagged ASSUMED-adjacent, so the ingest tool will not patch it in any case."
"M-22b.2","","M3 screw: button-head diameter","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. screw_m3_head_d (6.0) is DOCUMENTED(ISO 7380), not ASSUMED — the ingest tool does not patch it. > 6.0 undersizes every counterbore: report it as a finding."
"M-22b.3","","M3 screw: head height","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. Counterbore depth input."
"M-22c.1","","Cable tie: strap WIDTH (RECORD ONLY — this is NOT zip_slot_w, which is the SLOT the strap threads through)","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. zip_slot_w (4.0) IS the slot rectangle — lib/w17_lib.scad:176-179 cuts cube([slot_w, slot_l, t]). w17_params.scad:243 sizes it 4.0 for a 3 mm tie, i.e. slot = strap + dressing room. STOP if the strap is wider than 3.5: the 4.0 slot then has under 0.5 mm of dressing room. Report the strap; the slot is a CAD decision."
"M-22c.2","","Cable tie: strap THICKNESS (RECORD ONLY — this is NOT zip_slot_l)","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. zip_slot_l (2.5) is the slot's other side, same lib/w17_lib.scad:176-179 cube. Slot = strap + dressing room, never strap alone."
"M-22c.3","","Cable tie: head thickness","mm","","±0.1","","DO NOT ENTER INTO SCAD — register-only. Clearance under the base plate."
"M-22d","","OPTIONAL (needs wire stock): OD of a dressed 4-way silicone bundle","mm","","±0.5","","DO NOT ENTER INTO SCAD — register-only. Sanity for pass_slot_w/h (10 x 6) and tail_hole_d (8.0), all ESTIMATED — not ASSUMED, so not tool-patchable."
"C-1.1","fit_clearance","RESERVED — per-side print clearance read off coupon C-1 (the peg/hole ladder). NOT a caliper row: leave blank until TP-001 is printed and read","mm","","±0.05","","fit_clearance (0.20 ASSUMED). The ONLY row on this sheet that a printed part answers. Procedure and the exact export command: 11_cad/COUPON_PRINT_PLAN.md section C-1. Record the first ladder step that fits and stays put when shaken; steps 1-2 are negative controls."
"M-16.1","chg_l","IP2326 charge module: body length","mm","","±0.2","","chg_l. STOP if any axis exceeds the 30 x 25 x 10 cell."
"M-16.2","chg_w","IP2326: body width","mm","","±0.2","","chg_w."
"M-16.3","chg_h","IP2326: body height","mm","","±0.2","","chg_h."
"M-16.4","","IP2326: mounting-hole positions and diameter (if any)","mm","","±0.2","","ASM-59 seat."
"M-16.5","","IP2326: which edge carries the onboard Type-C, and its protrusion","mm + text","","±0.2","","CF-1/CF-6 flap decision."
"M-16.6","","IP2326: which face gets hot","text","","-","","Thermal face; no pocket may be cut before this row."
"M-16.7","","IP2326: where the leads exit","text","","-","",""
"M-16.8","","IP2326: is the state LED on the board (light-pipe) or can it fly on two wires?","text","","-","","PHOTO REQUIRED — both faces, silkscreen legible. CLOSES OP-C. The photo is also the evidence this is a genuine BALANCING charger, not boost+CV. Two sources conflict (29x26x6 vs 18.3x31 in a <=10 mm cell) and NEITHER is a caliper record."
"M-11a","","ESC: full label text / variant, transcribed exactly","text","","-","","PHOTO REQUIRED — the label, sharp, all of it. Retires the on-hand identity ASSUMPTION. STOP if it is not QuicRun 10BL120 G2 Sensored — the measured 44.2x33.7x34.0 body belongs to another part."
"M-11c","","ESC: foot / mounting-tab centres and tab hole diameter","mm","","±0.5","","esc_* install envelope; the OP-A relocation search. Record 'no tabs' if tape-mounted."
"M-11d","","ESC: which face each lead exits (battery in, 3 phase, signal) and each free length","mm + text","","±2","","PHOTO REQUIRED — the ESC with all leads laid out flat. KO-20 install envelope; N cable routing."
"M-14b.1","","MG90S: body L x W x H","mm (L x W x H)","","±0.2","","Register-only (no parameter consumes it yet) — label the three numbers. STOP if it differs from documented TowerPro 22.8 x 12.2 x 28.5 by > 0.5: these are clones and every pocket is sized wrong."
"M-14b.2","","MG90S: mounting-ear pitch","mm","","±0.2","","Pocket geometry."
"M-14b.3","","MG90S: ear hole diameter","mm","","±0.2","",""
"M-14b.4","","MG90S: boss height above the case","mm","","±0.2","",""
"M-14b.5","","MG90S: spline height and tooth COUNT","mm + count","","±0.2","","Horn compatibility."
"M-14b.6","","MG90S: lead exit face","text","","-","","Pocket orientation; DRS lead route."
"M-14c","","MG90S horn radii actually supplied, per hole, from the spline centre; and how many horns per servo","mm","","±0.2","","DRS throw arithmetic with M-14d. If no horns came, M-14d/e/f cannot close."
"M-14g1.1","","Rod-end (M4 ball joint): ball diameter","mm","","±0.2","","DRS + steering linkage."
"M-14g1.2","","Rod-end: thread size / pitch","text","","-","",""
"M-14g1.3","","Rod-end: ball-centre to thread-end distance","mm","","±0.2","","Sets usable rod length with M-14g2."
"M-18a.1","","Speaker: cone diameter","mm","","±0.2","","spk_* residual. NOTE: outline is already MEASURED 35.3 x 25.1 x 6.1 — the part is RECTANGULAR, not a round basket. Record the shape as found."
"M-18a.2","","Speaker: mounting-hole pattern and diameter","mm","","±0.2","","PS-14 / KO-28 baffle."
"M-18a.3","","Speaker: total depth including the magnet","mm","","±0.2","","Sidepod pocket depth."
"M-23.1","","Camera: PCB length","mm","","±0.2","","Gate C / D-06 / D-34. No camera mount CAD until every M-23 row exists."
"M-23.2","","Camera: PCB width","mm","","±0.2","",""
"M-23.3","","Camera: PCB thickness","mm","","±0.2","",""
"M-23.4","","Camera: heatsink envelope L x W x H","mm (L x W x H)","","±0.2","","Register-only — label the three numbers."
"M-23.5","","Camera: lens outside diameter","mm","","±0.2","","Duct interface; FOV opening."
"M-23.6","","Camera: lens axial length","mm","","±0.2","",""
"M-23.7","","Camera: lens axis offset from the PCB centre (both axes)","mm","","±0.2","","Boresight; KO-24."
"M-23.8","","Camera: mounting-hole pattern and diameter","mm","","±0.2","",""
"M-23.9","","Camera: cable-exit face and direction","text","","-","","Service pull."
"M-23.10","","Camera: total axial depth, lens tip to heatsink back","mm","","±0.2","","PHOTO REQUIRED — camera identity photo + one square-on shot of the lens face. STOP if it disagrees with the owner ground truth 19.2 x 19.2 transverse x 30.7 axial by > 1 mm — the documented body reference is then the wrong unit."
"M-24.1","","Wi-Fi antenna: whip length","mm","","±1","","KO-26 routing reserve. Expect ~70 mm."
"M-24.2","","Wi-Fi antenna: U.FL head body dimensions","mm","","±1","",""
"M-24.3","","Wi-Fi antenna: pigtail coax diameter","mm","","±1","",""
"M-24.4","","Wi-Fi antenna: minimum bend radius before the coax kinks","mm","","±1","","KO-26 wants >= 10 mm coax bend."
"M-25.1","","FRONT shock: eye-to-eye length","mm","","±0.5","","D-12 — resolves the 51 mm requirement vs 52 mm received-stock-label conflict. If it is neither, report both."
"M-25.2","","FRONT shock: body diameter","mm","","±0.5","","KO-04 swept cylinder."
"M-25.3","","FRONT shock: fully compressed length","mm","","±0.5","","Stroke = eye-to-eye minus this."
"M-25.4","","FRONT shock: spring OD and free length","mm","","±0.5","",""
"M-25.5","","REAR 68 mm shock: eye-to-eye length","mm","","±0.5","","KO-06 — the central shock in the electronics spine."
"M-25.6","","REAR shock: body diameter","mm","","±0.5","",""
"M-25.7","","REAR shock: fully compressed length","mm","","±0.5","","Feeds M-14h (swept arm vs shock at full compression)."
"M-25.8","","REAR shock: spring OD and free length","mm","","±0.5","",""
"M-26.1","","Spur: tooth count","count","","-","","D-16 / D-30."
"M-26.2","","Spur: outside diameter","mm","","±0.2","","KO-08 / KO-21 guard."
"M-26.3","","Spur: bore diameter","mm","","±0.1","",""
"M-26.4","","Spur: bolt-hole PCD","mm","","±0.1","","D-16 — must match the belt-set pulley."
"M-26.5","","Spur: bolt-hole diameter and count","mm + count","","±0.1","","PHOTO REQUIRED — spur and pulley faces side by side, bolt holes visible. STOP if the spur and pulley bolt patterns do not match: the drivetrain as bought cannot be assembled. Report before any rear print."
"M-26.6","","Belt-set pulley: tooth count","count","","-","",""
"M-26.7","","Belt-set pulley: outside diameter","mm","","±0.2","",""
"M-26.8","","Belt-set pulley: width","mm","","±0.2","","Belt guard width."
"M-26.9","","Belt-set pulley: bore diameter","mm","","±0.1","",""
"M-26.10","","Belt-set pulley: bolt-hole PCD, diameter and count","mm + count","","±0.1","","D-16 pair with M-26.4/.5."
"M-26.11","","Belt: width","mm","","±0.2","","KO-21."
"M-26.12","","Belt: measured length (laid flat, pitch line)","mm","","±1","","BOM says 140 mm — a length alone cannot establish the axes."
"M-26.13","","Pinion: tooth count","count","","-","",""
"M-26.14","","Pinion: outside diameter","mm","","±0.2","","Mesh centre with the spur."
"M-26.15","","Pinion: bore diameter","mm","","±0.1","","Motor shaft is 3.3 measured."
"M-26.16","","Rear output shaft: diameter","mm","","±0.1","",""
"M-26.17","","Rear output shaft: shoulder positions along its length","mm","","±0.2","","Spacer stack."
"M-27a.1","","A3144 Hall: TO-92 body L x W x thickness","mm (L x W x T)","","±0.2","","Register-only — label the three numbers. SNS-HALL envelope; PS-16 bracket."
"M-27a.2","","A3144: lead pitch","mm","","±0.2","",""
"M-27a.3","","A3144: lead length","mm","","±0.5","",""
"M-27b","","Neodymium magnet: diameter x thickness","-","","-","","BLOCKED — magnets ordered / in transit. The 3 x 1 spec is CONFIRMED on paper only."
"M-13","","SP3T boot-mode selector: body, throw, panel cut-out, terminal projection","-","","-","","DO NOT ENTER INTO SCAD — register-only. BLOCKED — no switch selected or bought (owner shopping residue). sp3t_body_l/w/h and sp3t_cutout_l/w stay ASSUMED; five parameters cannot come from one cell, so they are re-cut into cells when a switch exists."
"M-17a.1","","ES24TX: variant — IS IT THE PRO?","text","","-","","PHOTO REQUIRED — the module's model marking. gcs_tx_*. The vendor 70 x 49 x 32.5 figure is valid ONLY if it is the Pro. A nano/Slim is RE-MEASURED, not scaled. Answer this cell BEFORE filling M-17a.2l/w/h."
"M-17a.2l","gcs_tx_l","ES24TX: body LENGTH (without antenna)","mm","","±0.5","","gcs_tx_l."
"M-17a.2w","gcs_tx_w","ES24TX: body WIDTH (without antenna)","mm","","±0.5","","gcs_tx_w."
"M-17a.2h","gcs_tx_h","ES24TX: body HEIGHT (without antenna)","mm","","±0.5","","gcs_tx_h."
"M-17a.3","","ES24TX: JR hook dimensions and which faces carry connectors","mm + text","","±0.5","","Bulkhead panel is laid out from connector faces, not bodies."
"M-17b.1l","gcs_ftdi_l","FT232RL board: body LENGTH","mm","","±0.5","","gcs_ftdi_l — no measurement exists anywhere in the workspace."
"M-17b.1w","gcs_ftdi_w","FT232RL board: body WIDTH","mm","","±0.5","","gcs_ftdi_w."
"M-17b.1h","gcs_ftdi_h","FT232RL board: body HEIGHT","mm","","±0.5","","gcs_ftdi_h."
"M-17b.2","","FT232RL: connector faces","text","","-","","Bulkhead layout."
"M-17c.1","","RT5370 dongle: body L x W x H with the USB shell","mm (L x W x H)","","±0.5","","DO NOT ENTER INTO SCAD — register-only. SPARE / 2.4 GHz fallback only. This does NOT retire gcs_wifi_* for the primary adapter, so it stays register-only however good the number is."
"M-17d","","Approved dual-band 5 GHz-AP-capable Wi-Fi adapter: body + connector faces","-","","-","","DO NOT ENTER INTO SCAD — register-only. BLOCKED — not procured. Top of the owner shopping residue; also gates the hotspot half of the Windows validation suite. gcs_wifi_l/w/h get their own cells when the adapter exists."
"M-17e","","USB hub: body + connector faces, cables seated","-","","-","","DO NOT ENTER INTO SCAD — register-only. BLOCKED — not procured. gcs_hub_l/w/h get their own cells when the hub exists."
"M-08a","","ESP32 #1 with headers","g","","±1","","CG ledger; replaces the DevKit-class ~9-10 g estimate."
"M-08b","","ESP32 #2 with headers","g","","±1","","CG ledger."
"M-08c","","IP2326 charge module","g","","±1","","CG ledger; ASM-59."
"M-08d","","XT90-S loop key + leads (mated pigtail pair)","g","","±1","","CG ledger."
"M-08e.1","","MG90S #1","g","","±1","","Documented 13.4 g is a genuine-TowerPro figure."
"M-08e.2","","MG90S #2","g","","±1","",""
"M-08e.3","","MG90S #3","g","","±1","",""
"M-08f","","Camera assembly as it will install","g","","±1","","KO-24 / gimbal load."
"M-08g","","PDB, assembled","-","","-","","BLOCKED — not built (see M-06). The ~50 g is a TARGET."
"M-08h","","Cassette assembly","-","","-","","BLOCKED — does not exist; nothing in 11_cad/ has been printed."
"M-08i","","Pedestal","-","","-","","BLOCKED — does not exist."
"M-08j","","ZEEE 5200 bench-only pack, bagged, on the scale","g","","±1","","Retires an explicit ASSUMED (~250-300 g). NOT a car pack (138x47x37 vs <=75x45x25) — bench handling only, keep it out of any car CG ledger."
"M-09","","Four-corner weights, rolling assembly","-","","-","","BLOCKED TWICE — no rolling assembly, and tyres are in transit. NO balance claim and NO ballast cut until this table exists."
"M-20.1","","splice screw at X +7.50, L 0: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-20.2","","splice screw at X +14.26, L 0: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-20.3","","splice screw at X +22.69, L 0: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
"M-20.4","","rear bracket at X -27.76, L -13.50: FREE or OCCUPIED — try an actual M3 screw, do not judge by eye; if occupied, by what","free/occupied + text","","-","","PHOTO REQUIRED — one photo per OCCUPIED feature showing what occupies it. Coordinates are the car frame defined at the top of the runbook (X + toward the nose; L- = BELT side, L+ = MIRROR side). D-27 stage 2. Splice screws are OP-G's only anchors inside the cassette footprint; X+57.50/+64.24 are the pedestal's only anchors. Occupied = those ideas die here, which is cheaper than finding out with a printed part in hand. NO new holes in donor parts."
